PadID	CoboID	AsadID	AgetID	ChannelID	y[0]	z[0]	y[1]	z[1]	y[2]	z[2]	y[3]	z[3]/cm
0	1	0	0	30	-14.646	0	-13.946	0	-14.296	0.606	-14.646	0
1	1	0	0	42	-14.284	0.606	-13.584	0.606	-13.934	0	-14.284	0.606
2	1	0	0	28	-13.923	0	-13.223	0	-13.573	0.606	-13.923	0
3	1	0	0	40	-13.561	0.606	-12.861	0.606	-13.211	0	-13.561	0.606
4	1	0	0	21	-13.2	0	-12.5	0	-12.85	0.606	-13.2	0
5	1	0	0	38	-12.838	0.606	-12.138	0.606	-12.488	0	-12.838	0.606
6	1	0	0	19	-12.477	0	-11.777	0	-12.127	0.606	-12.477	0
7	1	0	0	36	-12.115	0.606	-11.415	0.606	-11.765	0	-12.115	0.606
8	1	0	0	13	-11.754	0	-11.054	0	-11.404	0.606	-11.754	0
9	1	0	0	34	-11.392	0.606	-10.692	0.606	-11.042	0	-11.392	0.606
10	1	0	0	17	-11.031	0	-10.331	0	-10.681	0.606	-11.031	0
11	1	0	0	24	-10.669	0.606	-9.969	0.606	-10.319	0	-10.669	0.606
12	1	0	0	10	-10.307	0	-9.607	0	-9.957	0.606	-10.307	0
13	1	0	0	8	-9.946	0.606	-9.246	0.606	-9.596	0	-9.946	0.606
14	1	0	0	4	-9.584	0	-8.884	0	-9.234	0.606	-9.584	0
15	1	0	0	2	-9.223	0.606	-8.523	0.606	-8.873	0	-9.223	0.606
16	1	0	1	64	-8.861	0	-8.161	0	-8.511	0.606	-8.861	0
17	1	0	1	62	-8.5	0.606	-7.8	0.606	-8.15	0	-8.5	0.606
18	1	0	1	58	-8.138	0	-7.438	0	-7.788	0.606	-8.138	0
19	1	0	1	53	-7.777	0.606	-7.077	0.606	-7.427	0	-7.777	0.606
20	1	0	1	51	-7.415	0	-6.715	0	-7.065	0.606	-7.415	0
21	1	0	1	36	-7.054	0.606	-6.354	0.606	-6.704	0	-7.054	0.606
22	1	0	1	55	-6.692	0	-5.992	0	-6.342	0.606	-6.692	0
23	1	0	1	34	-6.33	0.606	-5.63	0.606	-5.98	0	-6.33	0.606
24	1	0	1	47	-5.969	0	-5.269	0	-5.619	0.606	-5.969	0
25	1	0	1	32	-5.607	0.606	-4.907	0.606	-5.257	0	-5.607	0.606
26	1	0	1	44	-5.246	0	-4.546	0	-4.896	0.606	-5.246	0
27	1	0	1	28	-4.884	0.606	-4.184	0.606	-4.534	0	-4.884	0.606
28	1	0	1	40	-4.523	0	-3.823	0	-4.173	0.606	-4.523	0
29	1	0	1	26	-4.161	0.606	-3.461	0.606	-3.811	0	-4.161	0.606
30	1	0	1	38	-3.8	0	-3.1	0	-3.45	0.606	-3.8	0
31	1	0	1	21	-3.438	0.606	-2.738	0.606	-3.088	0	-3.438	0.606
32	1	3	1	32	-3.077	0	-2.377	0	-2.727	0.606	-3.077	0
33	1	3	1	17	-2.715	0.606	-2.015	0.606	-2.365	0	-2.715	0.606
34	1	3	1	8	-2.353	0	-1.653	0	-2.003	0.606	-2.353	0
35	1	3	1	6	-1.992	0.606	-1.292	0.606	-1.642	0	-1.992	0.606
36	3	3	1	4	-1.63	0	-0.93	0	-1.28	0.606	-1.63	0
37	3	3	1	17	-1.269	0.606	-0.569	0.606	-0.919	0	-1.269	0.606
38	3	3	1	19	-0.907	0	-0.207	0	-0.557	0.606	-0.907	0
39	3	3	1	32	-0.546	0.606	0.154	0.606	-0.196	0	-0.546	0.606
40	3	3	1	33	-0.184	0	0.516	0	0.166	0.606	-0.184	0
41	3	3	1	18	0.177	0.606	0.877	0.606	0.527	0	0.177	0.606
42	3	3	1	9	0.539	0	1.239	0	0.889	0.606	0.539	0
43	3	3	1	7	0.901	0.606	1.601	0.606	1.251	0	0.901	0.606
44	1	3	1	5	1.262	0	1.962	0	1.612	0.606	1.262	0
45	1	3	1	18	1.624	0.606	2.324	0.606	1.974	0	1.624	0.606
46	1	3	1	20	1.985	0	2.685	0	2.335	0.606	1.985	0
47	1	3	1	33	2.347	0.606	3.047	0.606	2.697	0	2.347	0.606
48	3	0	2	30	2.708	0	3.408	0	3.058	0.606	2.708	0
49	3	0	2	42	3.07	0.606	3.77	0.606	3.42	0	3.07	0.606
50	3	0	2	28	3.431	0	4.131	0	3.781	0.606	3.431	0
51	3	0	2	40	3.793	0.606	4.493	0.606	4.143	0	3.793	0.606
52	3	0	2	21	4.154	0	4.854	0	4.504	0.606	4.154	0
53	3	0	2	38	4.516	0.606	5.216	0.606	4.866	0	4.516	0.606
54	3	0	2	19	4.878	0	5.578	0	5.228	0.606	4.878	0
55	3	0	2	36	5.239	0.606	5.939	0.606	5.589	0	5.239	0.606
56	3	0	2	13	5.601	0	6.301	0	5.951	0.606	5.601	0
57	3	0	2	34	5.962	0.606	6.662	0.606	6.312	0	5.962	0.606
58	3	0	2	17	6.324	0	7.024	0	6.674	0.606	6.324	0
59	3	0	2	24	6.685	0.606	7.385	0.606	7.035	0	6.685	0.606
60	3	0	2	10	7.047	0	7.747	0	7.397	0.606	7.047	0
61	3	0	2	8	7.408	0.606	8.108	0.606	7.758	0	7.408	0.606
62	3	0	2	4	7.77	0	8.47	0	8.12	0.606	7.77	0
63	3	0	2	2	8.131	0.606	8.831	0.606	8.481	0	8.131	0.606
64	3	0	3	64	8.493	0	9.193	0	8.843	0.606	8.493	0
65	3	0	3	62	8.855	0.606	9.555	0.606	9.205	0	8.855	0.606
66	3	0	3	58	9.216	0	9.916	0	9.566	0.606	9.216	0
67	3	0	3	53	9.578	0.606	10.278	0.606	9.928	0	9.578	0.606
68	3	0	3	51	9.939	0	10.639	0	10.289	0.606	9.939	0
69	3	0	3	36	10.301	0.606	11.001	0.606	10.651	0	10.301	0.606
70	3	0	3	55	10.662	0	11.362	0	11.012	0.606	10.662	0
71	3	0	3	34	11.024	0.606	11.724	0.606	11.374	0	11.024	0.606
72	3	0	3	47	11.385	0	12.085	0	11.735	0.606	11.385	0
73	3	0	3	32	11.747	0.606	12.447	0.606	12.097	0	11.747	0.606
74	3	0	3	44	12.108	0	12.808	0	12.458	0.606	12.108	0
75	3	0	3	28	12.47	0.606	13.17	0.606	12.82	0	12.47	0.606
76	3	0	3	40	12.832	0	13.532	0	13.182	0.606	12.832	0
77	3	0	3	26	13.193	0.606	13.893	0.606	13.543	0	13.193	0.606
78	3	0	3	38	13.555	0	14.255	0	13.905	0.606	13.555	0
79	3	0	3	21	13.916	0.606	14.616	0.606	14.266	0	13.916	0.606
80	1	0	0	58	-14.646	1.222	-13.946	1.222	-14.296	0.616	-14.646	1.222
81	1	0	0	55	-14.284	0.616	-13.584	0.616	-13.934	1.222	-14.284	0.616
82	1	0	0	60	-13.923	1.222	-13.223	1.222	-13.573	0.616	-13.923	1.222
83	1	0	0	47	-13.561	0.616	-12.861	0.616	-13.211	1.222	-13.561	0.616
84	1	0	0	62	-13.2	1.222	-12.5	1.222	-12.85	0.616	-13.2	1.222
85	1	0	0	49	-12.838	0.616	-12.138	0.616	-12.488	1.222	-12.838	0.616
86	1	0	0	66	-12.477	1.222	-11.777	1.222	-12.127	0.616	-12.477	1.222
87	1	0	0	51	-12.115	0.616	-11.415	0.616	-11.765	1.222	-12.115	0.616
88	1	0	0	64	-11.754	1.222	-11.054	1.222	-11.404	0.616	-11.754	1.222
89	1	0	0	53	-11.392	0.616	-10.692	0.616	-11.042	1.222	-11.392	0.616
90	1	0	0	44	-11.031	1.222	-10.331	1.222	-10.681	0.616	-11.031	1.222
91	1	0	0	32	-10.669	0.616	-9.969	0.616	-10.319	1.222	-10.669	0.616
92	1	0	0	26	-10.307	1.222	-9.607	1.222	-9.957	0.616	-10.307	1.222
93	1	0	0	15	-9.946	0.616	-9.246	0.616	-9.596	1.222	-9.946	0.616
94	1	0	0	6	-9.584	1.222	-8.884	1.222	-9.234	0.616	-9.584	1.222
95	1	0	0	0	-9.223	0.616	-8.523	0.616	-8.873	1.222	-9.223	0.616
96	1	0	1	66	-8.861	1.222	-8.161	1.222	-8.511	0.616	-8.861	1.222
97	1	0	1	60	-8.5	0.616	-7.8	0.616	-8.15	1.222	-8.5	0.616
98	1	0	1	49	-8.138	1.222	-7.438	1.222	-7.788	0.616	-8.138	1.222
99	1	0	1	42	-7.777	0.616	-7.077	0.616	-7.427	1.222	-7.777	0.616
100	1	0	1	30	-7.415	1.222	-6.715	1.222	-7.065	0.616	-7.415	1.222
101	1	0	1	24	-7.054	0.616	-6.354	0.616	-6.704	1.222	-7.054	0.616
102	1	0	1	10	-6.692	1.222	-5.992	1.222	-6.342	0.616	-6.692	1.222
103	1	0	1	13	-6.33	0.616	-5.63	0.616	-5.98	1.222	-6.33	0.616
104	1	0	1	0	-5.969	1.222	-5.269	1.222	-5.619	0.616	-5.969	1.222
105	1	0	1	15	-5.607	0.616	-4.907	0.616	-5.257	1.222	-5.607	0.616
106	1	0	1	6	-5.246	1.222	-4.546	1.222	-4.896	0.616	-5.246	1.222
107	1	0	1	17	-4.884	0.616	-4.184	0.616	-4.534	1.222	-4.884	0.616
108	1	0	1	2	-4.523	1.222	-3.823	1.222	-4.173	0.616	-4.523	1.222
109	1	0	1	19	-4.161	0.616	-3.461	0.616	-3.811	1.222	-4.161	0.616
110	1	0	1	4	-3.8	1.222	-3.1	1.222	-3.45	0.616	-3.8	1.222
111	1	0	1	8	-3.438	0.616	-2.738	0.616	-3.088	1.222	-3.438	0.616
112	1	3	1	36	-3.077	1.222	-2.377	1.222	-2.727	0.616	-3.077	1.222
113	1	3	1	24	-2.715	0.616	-2.015	0.616	-2.365	1.222	-2.715	0.616
114	1	3	1	10	-2.353	1.222	-1.653	1.222	-2.003	0.616	-2.353	1.222
115	1	3	1	4	-1.992	0.616	-1.292	0.616	-1.642	1.222	-1.992	0.616
116	3	3	1	6	-1.63	1.222	-0.93	1.222	-1.28	0.616	-1.63	1.222
117	3	3	1	15	-1.269	0.616	-0.569	0.616	-0.919	1.222	-1.269	0.616
118	3	3	1	21	-0.907	1.222	-0.207	1.222	-0.557	0.616	-0.907	1.222
119	3	3	1	38	-0.546	0.616	0.154	0.616	-0.196	1.222	-0.546	0.616
120	3	3	1	37	-0.184	1.222	0.516	1.222	0.166	0.616	-0.184	1.222
121	3	3	1	25	0.177	0.616	0.877	0.616	0.527	1.222	0.177	0.616
122	3	3	1	12	0.539	1.222	1.239	1.222	0.889	0.616	0.539	1.222
123	3	3	1	5	0.901	0.616	1.601	0.616	1.251	1.222	0.901	0.616
124	1	3	1	7	1.262	1.222	1.962	1.222	1.612	0.616	1.262	1.222
125	1	3	1	16	1.624	0.616	2.324	0.616	1.974	1.222	1.624	0.616
126	1	3	1	23	1.985	1.222	2.685	1.222	2.335	0.616	1.985	1.222
127	1	3	1	39	2.347	0.616	3.047	0.616	2.697	1.222	2.347	0.616
128	3	0	2	58	2.708	1.222	3.408	1.222	3.058	0.616	2.708	1.222
129	3	0	2	55	3.07	0.616	3.77	0.616	3.42	1.222	3.07	0.616
130	3	0	2	60	3.431	1.222	4.131	1.222	3.781	0.616	3.431	1.222
131	3	0	2	47	3.793	0.616	4.493	0.616	4.143	1.222	3.793	0.616
132	3	0	2	62	4.154	1.222	4.854	1.222	4.504	0.616	4.154	1.222
133	3	0	2	49	4.516	0.616	5.216	0.616	4.866	1.222	4.516	0.616
134	3	0	2	66	4.878	1.222	5.578	1.222	5.228	0.616	4.878	1.222
135	3	0	2	51	5.239	0.616	5.939	0.616	5.589	1.222	5.239	0.616
136	3	0	2	64	5.601	1.222	6.301	1.222	5.951	0.616	5.601	1.222
137	3	0	2	53	5.962	0.616	6.662	0.616	6.312	1.222	5.962	0.616
138	3	0	2	44	6.324	1.222	7.024	1.222	6.674	0.616	6.324	1.222
139	3	0	2	32	6.685	0.616	7.385	0.616	7.035	1.222	6.685	0.616
140	3	0	2	26	7.047	1.222	7.747	1.222	7.397	0.616	7.047	1.222
141	3	0	2	15	7.408	0.616	8.108	0.616	7.758	1.222	7.408	0.616
142	3	0	2	6	7.77	1.222	8.47	1.222	8.12	0.616	7.77	1.222
143	3	0	2	0	8.131	0.616	8.831	0.616	8.481	1.222	8.131	0.616
144	3	0	3	66	8.493	1.222	9.193	1.222	8.843	0.616	8.493	1.222
145	3	0	3	60	8.855	0.616	9.555	0.616	9.205	1.222	8.855	0.616
146	3	0	3	49	9.216	1.222	9.916	1.222	9.566	0.616	9.216	1.222
147	3	0	3	42	9.578	0.616	10.278	0.616	9.928	1.222	9.578	0.616
148	3	0	3	30	9.939	1.222	10.639	1.222	10.289	0.616	9.939	1.222
149	3	0	3	24	10.301	0.616	11.001	0.616	10.651	1.222	10.301	0.616
150	3	0	3	10	10.662	1.222	11.362	1.222	11.012	0.616	10.662	1.222
151	3	0	3	13	11.024	0.616	11.724	0.616	11.374	1.222	11.024	0.616
152	3	0	3	0	11.385	1.222	12.085	1.222	11.735	0.616	11.385	1.222
153	3	0	3	15	11.747	0.616	12.447	0.616	12.097	1.222	11.747	0.616
154	3	0	3	6	12.108	1.222	12.808	1.222	12.458	0.616	12.108	1.222
155	3	0	3	17	12.47	0.616	13.17	0.616	12.82	1.222	12.47	0.616
156	3	0	3	2	12.832	1.222	13.532	1.222	13.182	0.616	12.832	1.222
157	3	0	3	19	13.193	0.616	13.893	0.616	13.543	1.222	13.193	0.616
158	3	0	3	4	13.555	1.222	14.255	1.222	13.905	0.616	13.555	1.222
159	3	0	3	8	13.916	0.616	14.616	0.616	14.266	1.222	13.916	0.616
160	1	0	0	59	-14.646	1.232	-13.946	1.232	-14.296	1.839	-14.646	1.232
161	1	0	0	57	-14.284	1.839	-13.584	1.839	-13.934	1.232	-14.284	1.839
162	1	0	0	61	-13.923	1.232	-13.223	1.232	-13.573	1.839	-13.923	1.232
163	1	0	0	48	-13.561	1.839	-12.861	1.839	-13.211	1.232	-13.561	1.839
164	1	0	0	67	-13.2	1.232	-12.5	1.232	-12.85	1.839	-13.2	1.232
165	1	0	0	50	-12.838	1.839	-12.138	1.839	-12.488	1.232	-12.838	1.839
166	1	0	0	63	-12.477	1.232	-11.777	1.232	-12.127	1.839	-12.477	1.232
167	1	0	0	52	-12.115	1.839	-11.415	1.839	-11.765	1.232	-12.115	1.839
168	1	0	0	65	-11.754	1.232	-11.054	1.232	-11.404	1.839	-11.754	1.232
169	1	0	0	54	-11.392	1.839	-10.692	1.839	-11.042	1.232	-11.392	1.839
170	1	0	0	46	-11.031	1.232	-10.331	1.232	-10.681	1.839	-11.031	1.232
171	1	0	0	33	-10.669	1.839	-9.969	1.839	-10.319	1.232	-10.669	1.839
172	1	0	0	27	-10.307	1.232	-9.607	1.232	-9.957	1.839	-10.307	1.232
173	1	0	0	16	-9.946	1.839	-9.246	1.839	-9.596	1.232	-9.946	1.839
174	1	0	0	7	-9.584	1.232	-8.884	1.232	-9.234	1.839	-9.584	1.232
175	1	0	0	1	-9.223	1.839	-8.523	1.839	-8.873	1.232	-9.223	1.839
176	1	0	1	67	-8.861	1.232	-8.161	1.232	-8.511	1.839	-8.861	1.232
177	1	0	1	61	-8.5	1.839	-7.8	1.839	-8.15	1.232	-8.5	1.839
178	1	0	1	50	-8.138	1.232	-7.438	1.232	-7.788	1.839	-8.138	1.232
179	1	0	1	43	-7.777	1.839	-7.077	1.839	-7.427	1.232	-7.777	1.839
180	1	0	1	31	-7.415	1.232	-6.715	1.232	-7.065	1.839	-7.415	1.232
181	1	0	1	25	-7.054	1.839	-6.354	1.839	-6.704	1.232	-7.054	1.839
182	1	0	1	12	-6.692	1.232	-5.992	1.232	-6.342	1.839	-6.692	1.232
183	1	0	1	14	-6.33	1.839	-5.63	1.839	-5.98	1.232	-6.33	1.839
184	1	0	1	1	-5.969	1.232	-5.269	1.232	-5.619	1.839	-5.969	1.232
185	1	0	1	16	-5.607	1.839	-4.907	1.839	-5.257	1.232	-5.607	1.839
186	1	0	1	7	-5.246	1.232	-4.546	1.232	-4.896	1.839	-5.246	1.232
187	1	0	1	18	-4.884	1.839	-4.184	1.839	-4.534	1.232	-4.884	1.839
188	1	0	1	3	-4.523	1.232	-3.823	1.232	-4.173	1.839	-4.523	1.232
189	1	0	1	9	-4.161	1.839	-3.461	1.839	-3.811	1.232	-4.161	1.839
190	1	0	1	5	-3.8	1.232	-3.1	1.232	-3.45	1.839	-3.8	1.232
191	1	0	1	20	-3.438	1.839	-2.738	1.839	-3.088	1.232	-3.438	1.839
192	1	3	1	38	-3.077	1.232	-2.377	1.232	-2.727	1.839	-3.077	1.232
193	1	3	1	26	-2.715	1.839	-2.015	1.839	-2.365	1.232	-2.715	1.839
194	1	3	1	13	-2.353	1.232	-1.653	1.232	-2.003	1.839	-2.353	1.232
195	1	3	1	2	-1.992	1.839	-1.292	1.839	-1.642	1.232	-1.992	1.839
196	3	3	1	0	-1.63	1.232	-0.93	1.232	-1.28	1.839	-1.63	1.232
197	3	3	1	8	-1.269	1.839	-0.569	1.839	-0.919	1.232	-1.269	1.839
198	3	3	1	24	-0.907	1.232	-0.207	1.232	-0.557	1.839	-0.907	1.232
199	3	3	1	40	-0.546	1.839	0.154	1.839	-0.196	1.232	-0.546	1.839
200	3	3	1	39	-0.184	1.232	0.516	1.232	0.166	1.839	-0.184	1.232
201	3	3	1	27	0.177	1.839	0.877	1.839	0.527	1.232	0.177	1.839
202	3	3	1	14	0.539	1.232	1.239	1.232	0.889	1.839	0.539	1.232
203	3	3	1	3	0.901	1.839	1.601	1.839	1.251	1.232	0.901	1.839
204	1	3	1	1	1.262	1.232	1.962	1.232	1.612	1.839	1.262	1.232
205	1	3	1	9	1.624	1.839	2.324	1.839	1.974	1.232	1.624	1.839
206	1	3	1	25	1.985	1.232	2.685	1.232	2.335	1.839	1.985	1.232
207	1	3	1	41	2.347	1.839	3.047	1.839	2.697	1.232	2.347	1.839
208	3	0	2	59	2.708	1.232	3.408	1.232	3.058	1.839	2.708	1.232
209	3	0	2	57	3.07	1.839	3.77	1.839	3.42	1.232	3.07	1.839
210	3	0	2	61	3.431	1.232	4.131	1.232	3.781	1.839	3.431	1.232
211	3	0	2	48	3.793	1.839	4.493	1.839	4.143	1.232	3.793	1.839
212	3	0	2	67	4.154	1.232	4.854	1.232	4.504	1.839	4.154	1.232
213	3	0	2	50	4.516	1.839	5.216	1.839	4.866	1.232	4.516	1.839
214	3	0	2	63	4.878	1.232	5.578	1.232	5.228	1.839	4.878	1.232
215	3	0	2	52	5.239	1.839	5.939	1.839	5.589	1.232	5.239	1.839
216	3	0	2	65	5.601	1.232	6.301	1.232	5.951	1.839	5.601	1.232
217	3	0	2	54	5.962	1.839	6.662	1.839	6.312	1.232	5.962	1.839
218	3	0	2	46	6.324	1.232	7.024	1.232	6.674	1.839	6.324	1.232
219	3	0	2	33	6.685	1.839	7.385	1.839	7.035	1.232	6.685	1.839
220	3	0	2	27	7.047	1.232	7.747	1.232	7.397	1.839	7.047	1.232
221	3	0	2	16	7.408	1.839	8.108	1.839	7.758	1.232	7.408	1.839
222	3	0	2	7	7.77	1.232	8.47	1.232	8.12	1.839	7.77	1.232
223	3	0	2	1	8.131	1.839	8.831	1.839	8.481	1.232	8.131	1.839
224	3	0	3	67	8.493	1.232	9.193	1.232	8.843	1.839	8.493	1.232
225	3	0	3	61	8.855	1.839	9.555	1.839	9.205	1.232	8.855	1.839
226	3	0	3	50	9.216	1.232	9.916	1.232	9.566	1.839	9.216	1.232
227	3	0	3	43	9.578	1.839	10.278	1.839	9.928	1.232	9.578	1.839
228	3	0	99	31	9.939	1.232	10.639	1.232	10.289	1.839	9.939	1.232
229	3	0	3	25	10.301	1.839	11.001	1.839	10.651	1.232	10.301	1.839
230	3	0	3	12	10.662	1.232	11.362	1.232	11.012	1.839	10.662	1.232
231	3	0	3	14	11.024	1.839	11.724	1.839	11.374	1.232	11.024	1.839
232	3	0	3	1	11.385	1.232	12.085	1.232	11.735	1.839	11.385	1.232
233	3	0	3	16	11.747	1.839	12.447	1.839	12.097	1.232	11.747	1.839
234	3	0	3	7	12.108	1.232	12.808	1.232	12.458	1.839	12.108	1.232
235	3	0	99	18	12.47	1.839	13.17	1.839	12.82	1.232	12.47	1.839
236	3	0	3	3	12.832	1.232	13.532	1.232	13.182	1.839	12.832	1.232
237	3	0	3	9	13.193	1.839	13.893	1.839	13.543	1.232	13.193	1.839
238	3	0	3	5	13.555	1.232	14.255	1.232	13.905	1.839	13.555	1.232
239	3	0	3	20	13.916	1.839	14.616	1.839	14.266	1.232	13.916	1.839
240	1	0	0	31	-14.646	2.455	-13.946	2.455	-14.296	1.849	-14.646	2.455
241	1	0	0	43	-14.284	1.849	-13.584	1.849	-13.934	2.455	-14.284	1.849
242	1	0	0	29	-13.923	2.455	-13.223	2.455	-13.573	1.849	-13.923	2.455
243	1	0	0	41	-13.561	1.849	-12.861	1.849	-13.211	2.455	-13.561	1.849
244	1	0	0	23	-13.2	2.455	-12.5	2.455	-12.85	1.849	-13.2	2.455
245	1	0	0	39	-12.838	1.849	-12.138	1.849	-12.488	2.455	-12.838	1.849
246	1	0	0	20	-12.477	2.455	-11.777	2.455	-12.127	1.849	-12.477	2.455
247	1	0	0	37	-12.115	1.849	-11.415	1.849	-11.765	2.455	-12.115	1.849
248	1	0	0	14	-11.754	2.455	-11.054	2.455	-11.404	1.849	-11.754	2.455
249	1	0	0	35	-11.392	1.849	-10.692	1.849	-11.042	2.455	-11.392	1.849
250	1	0	0	18	-11.031	2.455	-10.331	2.455	-10.681	1.849	-11.031	2.455
251	1	0	0	25	-10.669	1.849	-9.969	1.849	-10.319	2.455	-10.669	1.849
252	1	0	0	12	-10.307	2.455	-9.607	2.455	-9.957	1.849	-10.307	2.455
253	1	0	0	9	-9.946	1.849	-9.246	1.849	-9.596	2.455	-9.946	1.849
254	1	0	0	5	-9.584	2.455	-8.884	2.455	-9.234	1.849	-9.584	2.455
255	1	0	0	3	-9.223	1.849	-8.523	1.849	-8.873	2.455	-9.223	1.849
256	1	0	1	65	-8.861	2.455	-8.161	2.455	-8.511	1.849	-8.861	2.455
257	1	0	1	63	-8.5	1.849	-7.8	1.849	-8.15	2.455	-8.5	1.849
258	1	0	1	59	-8.138	2.455	-7.438	2.455	-7.788	1.849	-8.138	2.455
259	1	0	1	54	-7.777	1.849	-7.077	1.849	-7.427	2.455	-7.777	1.849
260	1	0	1	52	-7.415	2.455	-6.715	2.455	-7.065	1.849	-7.415	2.455
261	1	0	1	37	-7.054	1.849	-6.354	1.849	-6.704	2.455	-7.054	1.849
262	1	0	1	57	-6.692	2.455	-5.992	2.455	-6.342	1.849	-6.692	2.455
263	1	0	1	35	-6.33	1.849	-5.63	1.849	-5.98	2.455	-6.33	1.849
264	1	0	1	48	-5.969	2.455	-5.269	2.455	-5.619	1.849	-5.969	2.455
265	1	0	1	33	-5.607	1.849	-4.907	1.849	-5.257	2.455	-5.607	1.849
266	1	0	1	46	-5.246	2.455	-4.546	2.455	-4.896	1.849	-5.246	2.455
267	1	0	1	29	-4.884	1.849	-4.184	1.849	-4.534	2.455	-4.884	1.849
268	1	0	1	41	-4.523	2.455	-3.823	2.455	-4.173	1.849	-4.523	2.455
269	1	0	1	27	-4.161	1.849	-3.461	1.849	-3.811	2.455	-4.161	1.849
270	1	0	1	39	-3.8	2.455	-3.1	2.455	-3.45	1.849	-3.8	2.455
271	1	0	1	23	-3.438	1.849	-2.738	1.849	-3.088	2.455	-3.438	1.849
272	1	3	1	40	-3.077	2.455	-2.377	2.455	-2.727	1.849	-3.077	2.455
273	1	3	1	28	-2.715	1.849	-2.015	1.849	-2.365	2.455	-2.715	1.849
274	1	3	1	15	-2.353	2.455	-1.653	2.455	-2.003	1.849	-2.353	2.455
275	1	3	1	0	-1.992	1.849	-1.292	1.849	-1.642	2.455	-1.992	1.849
276	3	3	1	2	-1.63	2.455	-0.93	2.455	-1.28	1.849	-1.63	2.455
277	3	3	1	10	-1.269	1.849	-0.569	1.849	-0.919	2.455	-1.269	1.849
278	3	3	1	28	-0.907	2.455	-0.207	2.455	-0.557	1.849	-0.907	2.455
279	3	3	1	42	-0.546	1.849	0.154	1.849	-0.196	2.455	-0.546	1.849
280	3	3	1	41	-0.184	2.455	0.516	2.455	0.166	1.849	-0.184	2.455
281	3	3	1	29	0.177	1.849	0.877	1.849	0.527	2.455	0.177	1.849
282	3	3	1	16	0.539	2.455	1.239	2.455	0.889	1.849	0.539	2.455
283	3	3	1	1	0.901	1.849	1.601	1.849	1.251	2.455	0.901	1.849
284	1	3	1	3	1.262	2.455	1.962	2.455	1.612	1.849	1.262	2.455
285	1	3	1	12	1.624	1.849	2.324	1.849	1.974	2.455	1.624	1.849
286	1	3	1	29	1.985	2.455	2.685	2.455	2.335	1.849	1.985	2.455
287	1	3	1	43	2.347	1.849	3.047	1.849	2.697	2.455	2.347	1.849
288	3	0	2	31	2.708	2.455	3.408	2.455	3.058	1.849	2.708	2.455
289	3	0	2	43	3.07	1.849	3.77	1.849	3.42	2.455	3.07	1.849
290	3	0	2	29	3.431	2.455	4.131	2.455	3.781	1.849	3.431	2.455
291	3	0	2	41	3.793	1.849	4.493	1.849	4.143	2.455	3.793	1.849
292	3	0	2	23	4.154	2.455	4.854	2.455	4.504	1.849	4.154	2.455
293	3	0	2	39	4.516	1.849	5.216	1.849	4.866	2.455	4.516	1.849
294	3	0	2	20	4.878	2.455	5.578	2.455	5.228	1.849	4.878	2.455
295	3	0	2	37	5.239	1.849	5.939	1.849	5.589	2.455	5.239	1.849
296	3	0	2	14	5.601	2.455	6.301	2.455	5.951	1.849	5.601	2.455
297	3	0	2	35	5.962	1.849	6.662	1.849	6.312	2.455	5.962	1.849
298	3	0	2	18	6.324	2.455	7.024	2.455	6.674	1.849	6.324	2.455
299	3	0	2	25	6.685	1.849	7.385	1.849	7.035	2.455	6.685	1.849
300	3	0	2	12	7.047	2.455	7.747	2.455	7.397	1.849	7.047	2.455
301	3	0	2	9	7.408	1.849	8.108	1.849	7.758	2.455	7.408	1.849
302	3	0	2	5	7.77	2.455	8.47	2.455	8.12	1.849	7.77	2.455
303	3	0	2	3	8.131	1.849	8.831	1.849	8.481	2.455	8.131	1.849
304	3	0	3	65	8.493	2.455	9.193	2.455	8.843	1.849	8.493	2.455
305	3	0	3	63	8.855	1.849	9.555	1.849	9.205	2.455	8.855	1.849
306	3	0	3	59	9.216	2.455	9.916	2.455	9.566	1.849	9.216	2.455
307	3	0	3	54	9.578	1.849	10.278	1.849	9.928	2.455	9.578	1.849
308	3	0	3	52	9.939	2.455	10.639	2.455	10.289	1.849	9.939	2.455
309	3	0	3	37	10.301	1.849	11.001	1.849	10.651	2.455	10.301	1.849
310	3	0	3	57	10.662	2.455	11.362	2.455	11.012	1.849	10.662	2.455
311	3	0	3	35	11.024	1.849	11.724	1.849	11.374	2.455	11.024	1.849
312	3	0	3	48	11.385	2.455	12.085	2.455	11.735	1.849	11.385	2.455
313	3	0	3	33	11.747	1.849	12.447	1.849	12.097	2.455	11.747	1.849
314	3	0	3	46	12.108	2.455	12.808	2.455	12.458	1.849	12.108	2.455
315	3	0	？	29	12.47	1.849	13.17	1.849	12.82	2.455	12.47	1.849
316	3	0	3	41	12.832	2.455	13.532	2.455	13.182	1.849	12.832	2.455
317	3	0	3	27	13.193	1.849	13.893	1.849	13.543	2.455	13.193	1.849
318	3	0	3	39	13.555	2.455	14.255	2.455	13.905	1.849	13.555	2.455
319	3	0	1	23	13.916	1.849	14.616	1.849	14.266	2.455	13.916	1.849
320	1	0	2	30	-14.646	2.465	-13.946	2.465	-14.296	3.071	-14.646	2.465
321	1	0	2	42	-14.284	3.071	-13.584	3.071	-13.934	2.465	-14.284	3.071
322	1	0	2	28	-13.923	2.465	-13.223	2.465	-13.573	3.071	-13.923	2.465
